operacion;cliente;comercial;origen;destino;incoterm;pais;transporte;qpallets;costotransporte;tarifacomerciales;precio;agencia;fechacarga;producto
171;5300;IRENE;ARASOL;HAMM;DAP;ALEMANIA;CAMION;33;2220;2550;8497;TRANSTIRA;6/2020;ACEITUNAS VERDES SIN HUESO
172;5300;IRENE;OSUNA;HAMM;DAP;ALEMANIA;CAMION;33;2220;2550;12899;TRANSTIRA;6/2020;ACEITUNAS VERDES  RODAJAS
173;5300;IRENE;ACENORCA;HAMM;DAP;ALEMANIA;CAMION;33;2230;2550;10053;TRANSTIRA;6/2020;ACEITUNAS  RELLENAS  ANCHOA
174;5300;IRENE;ACENORCA;HAMM;DAP;ALEMANIA;CAMION;33;2230;2550;10053;TRANSTIRA;6/2020;ACEITUNAS  RELLENAS  ANCHOA
175;10200;ISABEL;CAZORLA;KLAIPEDA;CIF;LITUANIA;20';11;1108;1600;8976;OPERINTER;6/2020;ACEITUNAS  RELLENAS  ANCHOA
176;10200;ISABEL;ARASOL;KLAIPEDA;CIF;LITUANIA;20';11;1157;1600;5803;OPERINTER;6/2020;ACEITUNAS VERDES SIN HUESO
177;10200;ISABEL;OSUNA;KLAIPEDA;CIF;LITUANIA;20';11;1241;1600;21580;OPERINTER;6/2020;ACEITUNAS RELLENAS PIMIENTO
178;10200;ISABEL;OLIVES;KLAIPEDA;CIF;LITUANIA;20';11;1462;1600;11517;OPERINTER;6/2020;ACEITUNAS VERDES  RODAJAS
179;10200;ISABEL;ACENORCA;KLAIPEDA;CIF;LITUANIA;20';11;1482;1790;8976;DSV;6/2020;ACEITUNAS  RELLENAS  ANCHOA
180;10200;ISABEL;ACENORCA;KLAIPEDA;CIF;LITUANIA;20';11;1418;1600;11517;ECCOFREIGHT;6/2020;ACEITUNAS VERDES  RODAJAS
181;800;PACHI;ARASOL;DAMMAM;CFR;ARABIA SAUDITA;20';11;1645;1900;8976;OPERINTER;6/2020;ACEITUNAS  RELLENAS  ANCHOA
182;4900;IRENE;ARASOL;GELSENKIRCHEN;DAP;ALEMANIA;40';25;2140;2350;26180;CONTAINERSHIPS;6/2020;ACEITUNAS VERDES  RODAJAS
183;4800;DAVID;ARASOL;CHARD;DDP;REINO UNIDO;20';11;1880;2050;5803;CONTAINERSHIPS;6/2020;ACEITUNAS VERDES SIN HUESO
184;4800;DAVID;ACENORCA;CHARD;DDP;REINO UNIDO;20';11;1990;2050;9108;TRANSITEX;6/2020;ACEITUNAS NEGRAS RODAJAS
185;4500;DAVID;ARASOL;PORTSMOUTH;DDP;REINO UNIDO;40';25;2084;2234;20700;CONTAINERSHIPS;6/2020;ACEITUNAS NEGRAS RODAJAS
186;10000;PACHI;ARASOL;SALVADOR DE BAHIA;CFR;BRASIL;20';11;1112;1100;21580;DSV;6/2020;ACEITUNAS RELLENAS PIMIENTO
187;8100;PACHI;OLIVES;PARANAGUA;CFR;BRASIL;20';11;1233;1200;8976;DSV;6/2020;ACEITUNAS  RELLENAS  ANCHOA
188;4200;PACHI;OSUNA;BUSAN;CFR;COREA DEL SUR;20';11;1100;1400;9108;OPERINTER;6/2020;ACEITUNAS NEGRAS RODAJAS
189;4000;DAVID;ARASOL;PARK ROYAL;DDP;REINO UNIDO;20';11;1429;1940;21580;CONTAINERSHIPS;6/2020;ACEITUNAS RELLENAS PIMIENTO
190;3800;DAVID;CAZORLA;ITXASSOU;DAP;FRANCIA;CAMION;33;950;1150;11187;GALADTRANS;6/2020;ACEITUNAS RELLENAS PIMIENTO
191;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;20';11;1429;1940;11517;CONTAINERSHIPS;6/2020;ACEITUNAS VERDES  RODAJAS
192;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;2017;2200;24120;CONTAINERSHIPS;6/2020;ACEITUNAS RELLENAS PIMIENTO
193;6000;IRENE;ARASOL;HAMBURGO;DAP;ALEMANIA;20';11;1426;1410;9108;CONTAINERSHIPS;6/2020;ACEITUNAS NEGRAS RODAJAS
194;400;PACHI;ARASOL;KARACHI;CFR;PAKISTAN;20';11;1645;1800;5803;YUSEN LOGISTICS;6/2020;ACEITUNAS VERDES SIN HUESO
195;8400;MARIA;ARASOL;NUEVA YORK;CFR;ESTADOS UNIDOS;40';25;1475;2000;26180;COREFREIGHT;6/2020;ACEITUNAS VERDES  RODAJAS
196;6000;IRENE;OSUNA;HAMBURGO;DAP;ALEMANIA;40';25;1669;1580;26180;CONTAINERSHIPS;6/2020;ACEITUNAS VERDES  RODAJAS
197;2100;DAVID;ARASOL;LEYTON;DDP;REINO UNIDO;20';11;1664;2200;21580;CONTAINERSHIPS;6/2020;ACEITUNAS RELLENAS PIMIENTO
198;2100;DAVID;ARASOL;LEYTON;DDP;REINO UNIDO;20';11;1664;2200;5803;CONTAINERSHIPS;6/2020;ACEITUNAS VERDES SIN HUESO
199;2100;DAVID;ARASOL;MANCHESTER;DDP;REINO UNIDO;40';25;2365;2530;20700;CONTAINERSHIPS;6/2020;ACEITUNAS NEGRAS RODAJAS
200;2000;DAVID;CAZORLA;LIEUSAINT;DAP;FRANCIA;CAMION;33;1690;1750;8497;PEREZ RANGEL;6/2020;ACEITUNAS VERDES SIN HUESO
201;2000;DAVID;ACENORCA;LIEUSAINT;DAP;FRANCIA;CAMION;33;1620;1750;10053;LKW WALTER;6/2020;ACEITUNAS  RELLENAS  ANCHOA
202;7600;IRENE;OSUNA;SCHRAUWEN - ESSEN;DDP;BELGICA;CAMION;33;2175;2175;11187;KUKLA;6/2020;ACEITUNAS RELLENAS PIMIENTO
203;7600;IRENE;OLIVES;SCHRAUWEN - ESSEN;DDP;BELGICA;CAMION;33;1995;2175;12899;KUKLA;6/2020;ACEITUNAS VERDES  RODAJAS
204;100;PACHI;OSUNA;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;1400;1800;21580;YUSEN LOGISTICS;6/2020;ACEITUNAS RELLENAS PIMIENTO
205;6000;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;20';11;1700;1410;9108;CONTAINERSHIPS;6/2020;ACEITUNAS NEGRAS RODAJAS
206;6700;DAVID;OLIVES;MONTALDO;DAP;ITALIA;CAMION;33;1570;1800;11187;LKW WALTER;6/2020;ACEITUNAS RELLENAS PIMIENTO
207;6700;DAVID;OSUNA;MONTALDO;DAP;ITALIA;CAMION;33;1550;1800;10201;SMET;6/2020;ACEITUNAS NEGRAS RODAJAS
208;6700;DAVID;ACENORCA;MONTALDO;DAP;ITALIA;CAMION;33;1550;1800;12899;SMET;6/2020;ACEITUNAS VERDES  RODAJAS
209;1500;PACHI;OSUNA;SHUWAIKH;CFR;KUWAIT;20';11;1425;1800;21580;YUSEN LOGISTICS;6/2020;ACEITUNAS RELLENAS PIMIENTO
210;1500;PACHI;ARASOL;SHUWAIKH;CFR;KUWAIT;20';11;1450;1800;5803;YUSEN LOGISTICS;6/2020;ACEITUNAS VERDES SIN HUESO
211;4900;IRENE;ACENORCA;GELSENKIRCHEN;DAP;ALEMANIA;40';25;2050;2350;13188;MORARTE;6/2020;ACEITUNAS VERDES SIN HUESO
212;10300;PACHI;ACENORCA;SAN PETERSBURGO;CFR;RUSIA;40';25;1270;1900;13188;PINTO BASTO;6/2020;ACEITUNAS VERDES SIN HUESO
213;3900;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;40';25;1690;2260;26180;PINTO BASTO;6/2020;ACEITUNAS VERDES  RODAJAS
214;1100;PACHI;OSUNA;JEDDAH;CFR;ARABIA SAUDITA;40';25;1300;1450;13188;PINTO BASTO;6/2020;ACEITUNAS VERDES SIN HUESO
215;6100;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;40';25;1690;1579;26180;PINTO BASTO;6/2020;ACEITUNAS VERDES  RODAJAS
216;3500;DAVID;OLIVES;CHENNEVIERES;DAP;FRANCIA;CAMION;33;2080;2000;10201;RETAIL EXTENDED LOG;6/2020;ACEITUNAS NEGRAS RODAJAS
217;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;40';25;2133;1650;20700;YUSEN LOGISTICS;6/2020;ACEITUNAS NEGRAS RODAJAS
218;5800;DAVID;OSUNA;BADIA POLESINE;DAP;ITALIA;CAMION;33;2280;2350;10201;TRANSITALIA;7/2020;ACEITUNAS NEGRAS RODAJAS
219;3100;IRENE;OLIVES;HEDDESHEIM;DAP;ALEMANIA;CAMION;33;2300;2100;8497;RLC;7/2020;ACEITUNAS VERDES SIN HUESO
220;5300;IRENE;ACENORCA;HAMM;DAP;ALEMANIA;CAMION;33;2705;2550;10053;RHENUS;7/2020;ACEITUNAS  RELLENAS  ANCHOA
221;2400;DAVID;CAZORLA;LOMATRANS;DAP;FRANCIA;CAMION;33;1180;1680;10201;TRANSTIRA;7/2020;ACEITUNAS NEGRAS RODAJAS
222;4800;DAVID;ACENORCA;CHARD;DDP;REINO UNIDO;20';11;3242;2800;11517;CONTAINERSHIPS;7/2020;ACEITUNAS VERDES  RODAJAS
223;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;40';25;2780;2100;20400;RLC;7/2020;ACEITUNAS  RELLENAS  ANCHOA
224;7800;DAVID;OLIVES;LUTTERWORTH;DDP;REINO UNIDO;40';25;2850;2393;20700;PINTO BASTO;7/2020;ACEITUNAS NEGRAS RODAJAS
225;10300;PACHI;ACENORCA;SAN PETERSBURGO;CFR;RUSIA;20';11;1740;1600;9108;PINTO BASTO;7/2020;ACEITUNAS NEGRAS RODAJAS
226;4800;DAVID;ARASOL;CHARD;DAP;REINO UNIDO;20';11;2615;2900;8976;ELLERMAN;7/2020;ACEITUNAS  RELLENAS  ANCHOA
227;700;PACHI;OSUNA;MUNDRA;CFR;INDIA;20';11;1850;2300;9108;PINTO BASTO;7/2020;ACEITUNAS NEGRAS RODAJAS
228;1600;PACHI;OSUNA;ENNORE;CIF;INDIA;20';11;2550;2610;11517;PINTO BASTO;7/2020;ACEITUNAS VERDES  RODAJAS
229;1100;PACHI;ARASOL;JEDDAH;DDP;ARABIA SAUDITA;40';25;1980;1800;26180;PINTO BASTO;7/2020;ACEITUNAS VERDES  RODAJAS
230;8400;MARIA;ARASOL;NEW YORK;CFR;ESTADOS UNIDOS;40';25;4489;4740;24120;YUSEN LOGISTICS;7/2020;ACEITUNAS RELLENAS PIMIENTO
231;1600;PACHI;OSUNA;ENNORE;CIF;INDIA;20';11;1815;2500;5803;PINTO BASTO;7/2020;ACEITUNAS VERDES SIN HUESO
232;2400;DAVID;OLIVES;LOMATRANS;DAP;FRANCIA;CAMION;33;1470;1680;11187;SENNDER;7/2020;ACEITUNAS RELLENAS PIMIENTO
