operacion;cliente;comercial;origen;destino;incoterm;pais;transporte;qpallets;costotransporte;tarifacomerciales;precio;agencia;fechacarga;producto
1521;6000;IRENE;ARASOL;HAMBURGO;DAP;ALEMANIA;20';11;1665;1410;11077;CONTAINERSHIPS;4/2023;ACEITUNAS NEGRAS RODAJAS
1522;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;2100;2000;18606;OPERINTER;4/2023;ACEITUNAS  RELLENAS  ANCHOA
1523;1600;PACHI;OSUNA;ENNORE;CIF;INDIA;20';11;2360;2450;11077;PINTO BASTO;4/2023;ACEITUNAS NEGRAS RODAJAS
1524;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;40';25;2000;1600;18606;EUROSHIPPING;4/2023;ACEITUNAS  RELLENAS  ANCHOA
1525;300;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;40';25;2435;2750;22716;PINTO BASTO;4/2023;ACEITUNAS VERDES  RODAJAS
1526;4800;DAVID;ACENORCA;CHARD;DAP;REINO UNIDO;20';11;2186;3300;18187;CONTAINERSHIPS;4/2023;ACEITUNAS  RELLENAS  ANCHOA
1527;4900;IRENE;OSUNA;GELSENKIRCHEN;DDP;ALEMANIA;CAMION;33;2905;3150;26983;VERTEX;4/2023;ACEITUNAS RELLENAS PIMIENTO
1528;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;20';11;1785;2100;19995;SEALAND;4/2023;ACEITUNAS VERDES  RODAJAS
1529;100;PACHI;ARASOL;NHAVA SHEVA;CFR;INDIA;20';11;1540;2000;18187;OPERINTER;4/2023;ACEITUNAS  RELLENAS  ANCHOA
1530;5200;DAVID;ARASOL;HODDESDON;DAP;REINO UNIDO;40';25;2550;3150;22716;ELLERMAN;4/2023;ACEITUNAS VERDES  RODAJAS
1531;2700;DAVID;ACENORCA;BRESSANVIDO;DDP;ITALIA;CAMION;33;2100;2700;28195;TRANSITALIA;4/2023;ACEITUNAS NEGRAS RODAJAS
1532;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1900;2150;17741;COSOLTRANS;4/2023;ACEITUNAS VERDES SIN HUESO
1533;3000;DAVID;OSUNA;SAINT BONNET LES OULES;DDP;FRANCIA;CAMION;33;1900;2550;25442;TRANSGALAN;4/2023;ACEITUNAS VERDES  RODAJAS
1534;2400;DAVID;OLIVES;LOMATRANS;DDP;FRANCIA;CAMION;33;1900;2300;20839;JUAN PIZARRO;4/2023;ACEITUNAS  RELLENAS  ANCHOA
1535;2400;DAVID;OLIVES;LOMATRANS;DDP;FRANCIA;CAMION;33;2175;2300;25442;CARCABA;4/2023;ACEITUNAS VERDES  RODAJAS
1536;10300;PACHI;CAZORLA;SAN PETERSBURGO;CFR;RUSIA;40';25;1440;1600;15840;TRANSITEX;5/2023;ACEITUNAS VERDES SIN HUESO
1537;3500;DAVID;OSUNA;CHENNEVIERES;DAP;FRANCIA;CAMION;33;2400;2450;28195;BOGAITRANS;5/2023;ACEITUNAS NEGRAS RODAJAS
1538;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;1605;2400;15840;DSV;5/2023;ACEITUNAS VERDES SIN HUESO
1539;5300;IRENE;ARASOL;HAMM;DAP;ALEMANIA;CAMION;33;2260;2550;25174;TRANSTIRA;5/2023;ACEITUNAS NEGRAS RODAJAS
1540;1100;PACHI;OSUNA;JEDDAH;DDP;ARABIA SAUDITA;40';25;1975;2070;25174;TRANSITEX;5/2023;ACEITUNAS NEGRAS RODAJAS
1541;5300;IRENE;OSUNA;HAMM;DDP;ALEMANIA;CAMION;33;2695;3300;25174;VERTEX;5/2023;ACEITUNAS NEGRAS RODAJAS
1542;1100;PACHI;ARASOL;JEDDAH;DDP;ARABIA SAUDITA;40';25;1980;1800;24092;PINTO BASTO;5/2023;ACEITUNAS RELLENAS PIMIENTO
1543;2200;DAVID;ACENORCA;CAVA DE TIRRENI;DAP;ITALIA;CAMION;33;2400;2750;20839;TRANSITALIA;5/2023;ACEITUNAS  RELLENAS  ANCHOA
1544;3000;DAVID;OSUNA;SAINT BONNET LES OULES;DDP;FRANCIA;CAMION;33;1900;2550;26983;TRANSGALAN;5/2023;ACEITUNAS RELLENAS PIMIENTO
1545;7000;DAVID;CAZORLA;MONTEPRANDONE;DDP;ITALIA;CAMION;33;2000;2500;20839;TRANSITALIA;5/2023;ACEITUNAS  RELLENAS  ANCHOA
1546;1400;ISABEL;ACENORCA;HAIFA;CFR;ISRAEL;40';25;1615;2650;25174;OPERINTER;5/2023;ACEITUNAS NEGRAS RODAJAS
1547;4900;IRENE;ARASOL;GELSENKIRCHEN;DAP;ALEMANIA;40';25;2140;2350;25174;CONTAINERSHIPS;5/2023;ACEITUNAS NEGRAS RODAJAS
1548;6000;IRENE;ACENORCA;HAMMERSBACH;DAP;ALEMANIA;CAMION;33;2750;2700;25174;TRANSTIRA;5/2023;ACEITUNAS NEGRAS RODAJAS
1549;6700;DAVID;ACENORCA;CASTELLO DI ANNONE;DAP;ITALIA;CAMION;33;1800;1800;26983;LIBERTIA;5/2023;ACEITUNAS RELLENAS PIMIENTO
1550;4800;DAVID;ACENORCA;CHARD;DAP;REINO UNIDO;20';11;2880;2800;11077;ZETA SHIPPING;5/2023;ACEITUNAS NEGRAS RODAJAS
1551;4900;IRENE;ACENORCA;GELSENKIRCHEN;DDP;ALEMANIA;CAMION;33;2765;2300;20839;VERTEX;5/2023;ACEITUNAS  RELLENAS  ANCHOA
1552;400;PACHI;OSUNA;PORT QASIM;CFR;ARABIA SAUDITA;20';11;1795;2700;11077;PINTO BASTO;5/2023;ACEITUNAS RELLENAS PIMIENTO
1553;400;PACHI;OSUNA;PORT QASIM;CFR;ARABIA SAUDITA;20';11;2210;2700;11077;TRANSITEX;5/2023;ACEITUNAS NEGRAS RODAJAS
1554;7600;IRENE;OLIVES;HERMALLES;DAP;BELGICA;CAMION;33;1950;2150;26983;TRANSMOVIEX;5/2023;ACEITUNAS RELLENAS PIMIENTO
1555;3200;DAVID;ACENORCA;LURE;DAP;FRANCIA;CAMION;33;1750;2000;26983;PEREZ RANGEL;5/2023;ACEITUNAS RELLENAS PIMIENTO
1556;2400;DAVID;OLIVES;LOMATRANS;DDP;FRANCIA;CAMION;33;2175;2300;17741;PINTO BASTO;5/2023;ACEITUNAS VERDES SIN HUESO
1557;5300;IRENE;ARASOL;HAMM;DDP;ALEMANIA;CAMION;33;2750;3300;26983;VERTEX;5/2023;ACEITUNAS RELLENAS PIMIENTO
1558;100;PACHI;ARASOL;NHAVA SHEVA;CFR;INDIA;20';11;1700;2550;18187;TRANSITEX;5/2023;ACEITUNAS  RELLENAS  ANCHOA
1559;4800;DAVID;ARASOL;CHARD;DAP;REINO UNIDO;20';11;2615;2900;6970;ELLERMAN;5/2023;ACEITUNAS VERDES SIN HUESO
1560;200;PACHI;OSUNA;POTI;CFR;GEORGIA;40';25;1860;2550;24092;DHL;5/2023;ACEITUNAS RELLENAS PIMIENTO
1561;7700;IRENE;OLIVES;ZEEBRUGGE;DDP;BELGICA;40';25;2530;2750;15840;PINTO BASTO;5/2023;ACEITUNAS VERDES SIN HUESO
1562;6300;PACHI;OSUNA;GDANSK;DDP;POLONIA;20';11;1315;2100;18187;SEALAND;5/2023;ACEITUNAS  RELLENAS  ANCHOA
1563;3300;DAVID;OLIVES;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1250;1425;28195;TRANSMOVIEX;5/2023;ACEITUNAS NEGRAS RODAJAS
1564;2400;DAVID;OLIVES;LOMATRANS;DDP;FRANCIA;CAMION;33;2100;2300;17741;SER LOGIC;5/2023;ACEITUNAS VERDES SIN HUESO
1565;3700;DAVID;ARASOL;PARK ROYAL;DDP;REINO UNIDO;40';25;2490;3000;15840;ELLERMAN;5/2023;ACEITUNAS VERDES SIN HUESO
1566;3300;DAVID;OLIVES;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1400;2250;26983;PEREZ RANGEL;5/2023;ACEITUNAS RELLENAS PIMIENTO
1567;100;PACHI;ARASOL;NHAVA SHEVA;CFR;INDIA;20';11;1540;2000;6970;OPERINTER;5/2023;ACEITUNAS VERDES SIN HUESO
1568;5300;IRENE;ARASOL;HAMM;DAP;ALEMANIA;CAMION;33;3090;3500;20839;TRANSTIRA;5/2023;ACEITUNAS  RELLENAS  ANCHOA
1569;4800;DAVID;ACENORCA;CHARD;DAP;REINO UNIDO;20';11;2186;3300;10600;CONTAINERSHIPS;5/2023;ACEITUNAS RELLENAS PIMIENTO
1570;500;PACHI;ARASOL;CHATTOGRAM;CFR;BANGLADESH;20';11;2475;2800;6970;PINTO BASTO;5/2023;ACEITUNAS VERDES SIN HUESO
1571;2100;DAVID;ARASOL;MANCHESTER;DDP;REINO UNIDO;20';11;2330;3900;18187;CONTAINERSHIPS;5/2023;ACEITUNAS  RELLENAS  ANCHOA
1572;5100;DAVID;OSUNA;VITTERBO;DDP;ITALIA;CAMION;33;2380;2550;26983;TRANSITALIA;5/2023;ACEITUNAS RELLENAS PIMIENTO
1573;1600;PACHI;OSUNA;ENNORE;CIF;INDIA;20';11;2360;2450;11077;PINTO BASTO;5/2023;ACEITUNAS NEGRAS RODAJAS
1574;7200;DAVID;ARASOL;FLEURY LES AUBRAIS;DDP;FRANCIA;CAMION;33;2200;2600;17741;CARCABA;5/2023;ACEITUNAS VERDES SIN HUESO
1575;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;1970;2200;25174;JOHNGOOD;5/2023;ACEITUNAS NEGRAS RODAJAS
1576;400;PACHI;OSUNA;PORT QASIM;CFR;PAKISTAN;20';11;1800;2100;6970;PINTO BASTO;5/2023;ACEITUNAS VERDES SIN HUESO
1577;1100;PACHI;OSUNA;JEDDAH;CFR;ARABIA SAUDITA;20';11;1530;1800;11077;BRAID;5/2023;ACEITUNAS NEGRAS RODAJAS
1578;6300;PACHI;OSUNA;GDANSK;DDP;POLONIA;20';11;1315;2100;18187;SEALAND;5/2023;ACEITUNAS  RELLENAS  ANCHOA
1579;200;PACHI;ARASOL;POTI;CFR;GEORGIA;40';25;1950;2550;24092;DHL;5/2023;ACEITUNAS RELLENAS PIMIENTO
1580;3200;DAVID;ACENORCA;LURE;DAP;FRANCIA;CAMION;33;1955;2000;20839;TRANSTIRA;5/2023;ACEITUNAS  RELLENAS  ANCHOA
1581;5600;DAVID;OSUNA;LAMPORECCHIO;DDP;ITALIA;CAMION;33;2100;2500;26983;TRANSITALIA;5/2023;ACEITUNAS RELLENAS PIMIENTO
1582;400;PACHI;OSUNA;PORT QASIM;CFR;ARABIA SAUDITA;20';11;1790;1825;6970;OPERINTER;5/2023;ACEITUNAS VERDES SIN HUESO
1583;4800;DAVID;ARASOL;CHARD;DAP;REINO UNIDO;20';11;2615;2900;19995;ELLERMAN;5/2023;ACEITUNAS VERDES  RODAJAS
1584;6500;DAVID;OLIVES;VALLESE DI OPPEANO;DAP;ITALIA;CAMION;33;1790;1900;25442;TRANSMOVIEX;5/2023;ACEITUNAS VERDES  RODAJAS
1585;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;2429;2700;25174;CONTAINERSHIPS;5/2023;ACEITUNAS NEGRAS RODAJAS
1586;7000;DAVID;ARASOL;MONTEPRANDONE;DDP;ITALIA;CAMION;33;2280;2600;28195;TRANSITALIA;5/2023;ACEITUNAS NEGRAS RODAJAS
1587;6500;DAVID;OLIVES;VALLESE DI OPPEANO;DDP;ITALIA;CAMION;33;2250;2600;25442;TRANSMOVIEX;5/2023;ACEITUNAS VERDES  RODAJAS
1588;7800;DAVID;OLIVES;LUTTERWORTH;DAP;REINO UNIDO;40';25;2550;2393;22716;PINTO BASTO;5/2023;ACEITUNAS VERDES  RODAJAS
1589;2800;DAVID;ACENORCA;BADIA POLESINE;DDP;ITALIA;CAMION;33;2280;2550;17741;TRANSITALIA;5/2023;ACEITUNAS VERDES SIN HUESO
1590;10200;ISABEL;ARASOL;KLAIPEDA;CIF;LITUANIA;40';25;1277;1600;18606;OPERINTER;5/2023;ACEITUNAS  RELLENAS  ANCHOA
1591;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;2055;2400;18606;DSV;5/2023;ACEITUNAS  RELLENAS  ANCHOA
1592;10300;PACHI;ACENORCA;SAN PETERSBURGO;CFR;RUSIA;20';11;1740;1600;11077;PINTO BASTO;5/2023;ACEITUNAS NEGRAS RODAJAS
1593;10300;PACHI;ACENORCA;SAN PETERSBURGO;CFR;RUSIA;40';25;1685;1800;15840;PINTO BASTO;5/2023;ACEITUNAS VERDES SIN HUESO
1594;2800;DAVID;OSUNA;BADIA POLESINE;DDP;ITALIA;CAMION;33;2150;2550;28195;LIBERTIA;5/2023;ACEITUNAS NEGRAS RODAJAS
1595;300;PACHI;ACENORCA;JEDDAH;CFR;ARABIA SAUDITA;40';25;1810;2200;15840;PINTO BASTO;5/2023;ACEITUNAS VERDES SIN HUESO
1596;4500;DAVID;ARASOL;PORTSMOUTH;DDP;REINO UNIDO;40';25;2084;2234;25174;CONTAINERSHIPS;5/2023;ACEITUNAS NEGRAS RODAJAS
1597;7800;DAVID;OLIVES;DONCASTER;DAP;REINO UNIDO;40';25;2393;2393;25174;CONTAINERSHIPS;5/2023;ACEITUNAS NEGRAS RODAJAS
1598;4000;DAVID;ARASOL;PARK ROYAL;DDP;REINO UNIDO;40';25;1970;2200;25174;JOHNGOOD;5/2023;ACEITUNAS NEGRAS RODAJAS
1599;1600;PACHI;OSUNA;ENNORE;CIF;INDIA;20';11;2360;2450;10600;PINTO BASTO;5/2023;ACEITUNAS RELLENAS PIMIENTO
1600;2300;DAVID;OSUNA;LOMAZZO;DDP;ITALIA;CAMION;33;1960;2400;20839;LIBERTIA;5/2023;ACEITUNAS  RELLENAS  ANCHOA
1601;900;PACHI;OLIVES;JEDDAH;CFR;ARABIA SAUDITA;40';25;1720;1850;15840;PINTO BASTO;5/2023;ACEITUNAS VERDES SIN HUESO
1602;7600;IRENE;OSUNA;HERMALLES;DAP;BELGICA;CAMION;33;2560;2600;20839;MAGETRALUX;5/2023;ACEITUNAS  RELLENAS  ANCHOA
1603;500;PACHI;ARASOL;CHITTAGONG;CFR;BANGLADESH;20';11;2690;3350;11077;TRANSITEX;6/2023;ACEITUNAS NEGRAS RODAJAS
1604;6700;DAVID;OLIVES;SARNO;DAP;ITALIA;CAMION;33;1970;1800;20839;LKW WALTER;6/2023;ACEITUNAS  RELLENAS  ANCHOA
1605;1100;PACHI;ARASOL;JEDDAH;DDP;ARABIA SAUDITA;20';11;1730;1785;11077;TRANSITEX;6/2023;ACEITUNAS NEGRAS RODAJAS
1606;8400;MARIA;ARASOL;NUEVA YORK;CFR;ESTADOS UNIDOS;40';25;1475;2000;18606;COREFREIGHT;6/2023;ACEITUNAS  RELLENAS  ANCHOA
1607;6400;DAVID;OSUNA;MATELICA;DAP;ITALIA;CAMION;33;2200;2200;26983;TRANSITALIA;6/2023;ACEITUNAS RELLENAS PIMIENTO
1608;5100;DAVID;OSUNA;VITTERBO;DDP;ITALIA;CAMION;33;2380;2550;20839;TRANSITALIA;6/2023;ACEITUNAS  RELLENAS  ANCHOA
1609;2400;DAVID;CAZORLA;LOMATRANS;DAP;FRANCIA;CAMION;33;1180;1680;25174;JOMAPORTES;6/2023;ACEITUNAS NEGRAS RODAJAS
1610;400;PACHI;OSUNA;PORT QASIM;CFR;PAKISTAN;20';11;1800;2100;18187;PINTO BASTO;6/2023;ACEITUNAS  RELLENAS  ANCHOA
1611;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;20';11;1785;2100;11077;SEALAND;6/2023;ACEITUNAS NEGRAS RODAJAS
1612;7100;DAVID;ACENORCA;CASTEL MADAMA;DAP;ITALIA;CAMION;33;2397;2150;25174;LIBERTIA;6/2023;ACEITUNAS NEGRAS RODAJAS
1613;6000;IRENE;ACENORCA;HAMBURGO;DDP;ALEMANIA;CAMION;33;3400;3040;25174;NEPTUNE;6/2023;ACEITUNAS NEGRAS RODAJAS
1614;6000;IRENE;ARASOL;HAMBURGO;DAP;ALEMANIA;20';11;1665;1410;18187;CONTAINERSHIPS;6/2023;ACEITUNAS  RELLENAS  ANCHOA
1615;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;2100;2000;18606;OPERINTER;6/2023;ACEITUNAS  RELLENAS  ANCHOA
1616;1600;PACHI;OSUNA;ENNORE;CIF;INDIA;20';11;2360;2450;11077;PINTO BASTO;6/2023;ACEITUNAS NEGRAS RODAJAS
1617;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;40';25;2000;1600;18606;EUROSHIPPING;6/2023;ACEITUNAS  RELLENAS  ANCHOA
1618;3500;DAVID;OLIVES;CHENNEVIERES;DAP;FRANCIA;CAMION;33;1889;2000;20839;RETAIL EXTENDED LOG;6/2023;ACEITUNAS  RELLENAS  ANCHOA
1619;7700;IRENE;OLIVES;ZEEBRUGGE;DAP;BELGICA;40';25;2003;2195;18606;CONTAINERSHIPS;6/2023;ACEITUNAS  RELLENAS  ANCHOA
1620;8800;MARIA;ACENORCA;SAVANNAH;CIF;ESTADOS UNIDOS;40';25;4895;2500;24092;TRANSITEX;6/2023;ACEITUNAS RELLENAS PIMIENTO
1621;7300;DAVID;OLIVES;VALONGO;DDP;PORTUGAL;CAMION;33;320;500;26983;TOMAS FERNANDEZ;6/2023;ACEITUNAS RELLENAS PIMIENTO
1622;4500;DAVID;ACENORCA;PORTSMOUTH;DDP;REINO UNIDO;40';25;2250;2234;25174;CONTAINERSHIPS;6/2023;ACEITUNAS NEGRAS RODAJAS
1623;2100;DAVID;ARASOL;LEYTON;DAP;REINO UNIDO;40';25;2297;2250;25174;CONTAINERSHIPS;6/2023;ACEITUNAS NEGRAS RODAJAS
1624;500;PACHI;ARASOL;CHITTAGONG;CFR;BANGLADESH;20';11;2690;3350;11077;TRANSITEX;6/2023;ACEITUNAS NEGRAS RODAJAS
1625;2100;DAVID;ARASOL;LEYTON;DAP;REINO UNIDO;40';25;2297;2250;24092;CONTAINERSHIPS;6/2023;ACEITUNAS RELLENAS PIMIENTO
1626;6000;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;40';25;1950;1580;24092;CONTAINERSHIPS;6/2023;ACEITUNAS RELLENAS PIMIENTO
1627;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1560;1600;26983;CARRERAS;6/2023;ACEITUNAS RELLENAS PIMIENTO
1628;2100;DAVID;ARASOL;LEYTON;DDP;REINO UNIDO;40';25;2095;2200;24092;TRANSITEX;6/2023;ACEITUNAS RELLENAS PIMIENTO
1629;7800;DAVID;OLIVES;LUTTERWORTH;DAP;REINO UNIDO;40';25;2150;2393;22716;PINTO BASTO;6/2023;ACEITUNAS VERDES  RODAJAS
1630;8100;PACHI;OLIVES;PARANAGUA;CFR;BRASIL;20';11;2230;1810;19995;PINTO BASTO;6/2023;ACEITUNAS VERDES  RODAJAS
1631;100;PACHI;ARASOL;NHAVA SHEVA;CFR;INDIA;20';11;1540;2000;6970;OPERINTER;6/2023;ACEITUNAS VERDES SIN HUESO
1632;2400;DAVID;OLIVES;LOMATRANS;DAP;FRANCIA;CAMION;33;2200;2300;17741;TTES JUAN PIZARRO;6/2023;ACEITUNAS VERDES SIN HUESO
1633;3100;IRENE;OLIVES;HAMBURGO;DDP;ALEMANIA;40';25;2043;1725;15840;CONTAINERSHIPS;6/2023;ACEITUNAS VERDES SIN HUESO
1634;8700;MARIA;ACENORCA;MONTREAL;CIF;CANADA;40';25;7640;8850;25174;MOSCA MARITIMO;6/2023;ACEITUNAS NEGRAS RODAJAS
1635;6700;DAVID;OSUNA;MONTALDO;DAP;ITALIA;CAMION;33;1550;1800;25442;SMET;6/2023;ACEITUNAS VERDES  RODAJAS
1636;4900;IRENE;ARASOL;GELSENKIRCHEN;DAP;ALEMANIA;CAMION;33;1200;2350;17741;TRANSTIRA;6/2023;ACEITUNAS VERDES SIN HUESO
1637;2300;DAVID;OSUNA;LOMAZZO;DDP;ITALIA;CAMION;33;1960;2400;17741;LIBERTIA;6/2023;ACEITUNAS VERDES SIN HUESO
1638;8900;MARIA;ARASOL;MIAMI;CIF;ESTADOS UNIDOS;40';25;3500;2400;22716;BORTESI;6/2023;ACEITUNAS VERDES  RODAJAS
1639;1800;IRENE;ACENORCA;COLONIA;DAP;ALEMANIA;CAMION;33;1945;2100;20839;TRANSTIRA;6/2023;ACEITUNAS  RELLENAS  ANCHOA
1640;400;PACHI;OSUNA;PORT QASIM;CFR;PAKISTAN;20';11;1800;2100;19995;PINTO BASTO;6/2023;ACEITUNAS VERDES  RODAJAS
1641;8300;PACHI;ARASOL;SUAPE;CFR;BRASIL;20';11;2205;2575;19995;BRAID;6/2023;ACEITUNAS VERDES  RODAJAS
1642;2000;DAVID;OLIVES;LIEUSAINT;DAP;FRANCIA;CAMION;33;1990;2100;28195;MANERO;6/2023;ACEITUNAS NEGRAS RODAJAS
1643;8900;MARIA;ARASOL;MIAMI;CIF;ESTADOS UNIDOS;40';25;3500;2400;22716;BORTESI;6/2023;ACEITUNAS VERDES  RODAJAS
1644;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;2017;2200;18606;CONTAINERSHIPS;6/2023;ACEITUNAS  RELLENAS  ANCHOA
1645;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;1715;2250;22716;TRANSITEX;6/2023;ACEITUNAS VERDES  RODAJAS
1646;2700;DAVID;ACENORCA;BRESSANVIDO;DDP;ITALIA;CAMION;33;2100;2700;20839;TRANSITALIA;6/2023;ACEITUNAS  RELLENAS  ANCHOA
1647;4000;DAVID;ARASOL;PARK ROYAL;DDP;REINO UNIDO;40';25;1970;2200;22716;JOHNGOOD;6/2023;ACEITUNAS VERDES  RODAJAS
1648;6100;IRENE;ARASOL;HAMBURGO;DAP;ALEMANIA;40';25;1660;1579;18606;CONTAINERSHIPS;6/2023;ACEITUNAS  RELLENAS  ANCHOA
1649;6300;PACHI;OSUNA;GDANSK;DDP;POLONIA;20';11;1315;2100;18187;SEALAND;6/2023;ACEITUNAS  RELLENAS  ANCHOA
1650;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;40';25;1560;1650;25174;PINTO BASTO;6/2023;ACEITUNAS NEGRAS RODAJAS
1651;7800;DAVID;OLIVES;DONCASTER;DAP;REINO UNIDO;40';25;2600;2393;22716;PINTO BASTO;6/2023;ACEITUNAS VERDES  RODAJAS
1652;500;PACHI;ARASOL;CHITTAGONG;CFR;BANGLADESH;20';11;2690;3350;11077;TRANSITEX;6/2023;ACEITUNAS NEGRAS RODAJAS
1653;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;20';11;1568;1600;6970;SEALAND;6/2023;ACEITUNAS VERDES SIN HUESO
1654;1100;PACHI;OSUNA;JEDDAH;CFR;ARABIA SAUDITA;40';25;1300;1450;22716;PINTO BASTO;6/2023;ACEITUNAS VERDES  RODAJAS
1655;4900;IRENE;ACENORCA;GELSENKIRCHEN;DAP;ALEMANIA;CAMION;33;1900;2350;25442;TRANSTIRA;6/2023;ACEITUNAS VERDES  RODAJAS
1656;8200;PACHI;ARASOL;PARANAGUA;CFR;BRASIL;20';11;1920;2100;6970;TRANSITEX;6/2023;ACEITUNAS VERDES SIN HUESO
1657;5200;DAVID;ARASOL;HODDESDON;DAP;REINO UNIDO;40';25;2550;3150;15840;ELLERMAN;6/2023;ACEITUNAS VERDES SIN HUESO
1658;2500;DAVID;ACENORCA;CERIGNOLA;DAP;ITALIA;CAMION;33;2280;2350;25442;TRANSITALIA;6/2023;ACEITUNAS VERDES  RODAJAS
1659;3300;DAVID;OLIVES;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1400;1425;20839;MANERO;7/2023;ACEITUNAS  RELLENAS  ANCHOA
1660;3700;DAVID;ARASOL;PARK ROYAL;DDP;REINO UNIDO;40';25;2650;3000;22716;ELLERMAN;7/2023;ACEITUNAS VERDES  RODAJAS
1661;100;PACHI;OSUNA;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;40';25;1715;2050;18606;YUSEN LOGISTICS;7/2023;ACEITUNAS  RELLENAS  ANCHOA
1662;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;2106;2400;25174;DSV;7/2023;ACEITUNAS NEGRAS RODAJAS
1663;2400;DAVID;OLIVES;LOMATRANS;DAP;FRANCIA;CAMION;33;1650;1680;20839;TRANSPORTES VALIENTE;7/2023;ACEITUNAS  RELLENAS  ANCHOA
1664;7700;IRENE;OLIVES;ZEEBRUGGE;DAP;BELGICA;40';25;1975;2195;15840;TRANSITEX;7/2023;ACEITUNAS VERDES SIN HUESO
1665;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;20';11;1640;1800;11077;PINTO BASTO;7/2023;ACEITUNAS NEGRAS RODAJAS
1666;6100;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;40';25;1690;1579;25174;PINTO BASTO;7/2023;ACEITUNAS NEGRAS RODAJAS
1667;4700;DAVID;ARASOL;GIUSTENICE;DAP;FRANCIA;CAMION;33;1760;1900;25442;TRANSTIRA;7/2023;ACEITUNAS VERDES  RODAJAS
1668;10400;PACHI;OLIVES;LUBLIN;DDP;POLONIA;CAMION;33;3000;3000;20839;SILVAN LOGISTICS;7/2023;ACEITUNAS  RELLENAS  ANCHOA
1669;8000;PACHI;ARASOL;PARANAGUA;CFR;BRASIL;40';25;1050;1200;25174;TRANSITEX;7/2023;ACEITUNAS NEGRAS RODAJAS
1670;10300;PACHI;ACENORCA;SAN PETERSBURGO;CFR;RUSIA;40';25;1720;1725;18606;PINTO BASTO;7/2023;ACEITUNAS  RELLENAS  ANCHOA
1671;9200;DAVID;ARASOL;SAO PEDRO DA COVA;DDP;PORTUGAL;CAMION;33;720;830;25442;TOMAS FERNANDEZ;7/2023;ACEITUNAS VERDES  RODAJAS
1672;1900;DAVID;ARASOL;BARKING;DAP;REINO UNIDO;40';25;2290;2950;25174;CONTAINERSHIPS;7/2023;ACEITUNAS NEGRAS RODAJAS
1673;4900;IRENE;OSUNA;GELSENKIRCHEN;DDP;ALEMANIA;CAMION;33;2905;3150;26983;VERTEX;7/2023;ACEITUNAS RELLENAS PIMIENTO
1674;7800;DAVID;OSUNA;LUTTERWORTH;DAP;REINO UNIDO;40';25;2143;2227;25174;CONTAINERSHIPS;7/2023;ACEITUNAS NEGRAS RODAJAS
1675;2100;DAVID;ARASOL;LEYTON;DDP;REINO UNIDO;40';25;1560;2200;15840;TRANSITEX;7/2023;ACEITUNAS VERDES SIN HUESO
1676;100;PACHI;OSUNA;NHAVA SHEVA;CFR;INDIA;20';11;1450;2000;18187;OPERINTER;7/2023;ACEITUNAS  RELLENAS  ANCHOA
1677;1800;IRENE;ACENORCA;NIEDERHOFEN;DAP;ALEMANIA;CAMION;33;1915;2100;25442;TRANSTIRA;7/2023;ACEITUNAS VERDES  RODAJAS
1678;10300;PACHI;CAZORLA;SAN PETERSBURGO;CFR;RUSIA;40';25;1200;1600;18606;PINTO BASTO;7/2023;ACEITUNAS  RELLENAS  ANCHOA
1679;4900;IRENE;ACENORCA;GELSENKIRCHEN;DAP;ALEMANIA;CAMION;33;1845;2350;26983;TRANSTIRA;7/2023;ACEITUNAS RELLENAS PIMIENTO
1680;4200;PACHI;OSUNA;BUSAN;CFR;COREA DEL SUR;40';25;1220;1400;25174;OPERINTER;7/2023;ACEITUNAS NEGRAS RODAJAS
