BL/AWB/PRO	Container	Purchase Order	Forwarder	Est. POL Date	Est. POD Date	Mode	POL	País	Customs Inspection	Planned to HUB	Planned to Warehouse	Cont. Date 1	Carrier	Order Qty	Transport price
XM2212003I/02	CAIU4755028	122448- 121194- 120911	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	12/1/2023	Mediterranean Shipping Company (MSC)	10001	2800
XM2212001I/04	CAIU4726586	121255- 121362- 121363- 122083- 122084- 124134- 124150- 124692- 124689- 124697- 124705- 124701- 124707- 124824	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	4/12/2022	7/1/2023	Ocean	Xiamen- CN				1	11/1/2023	Mediterranean Shipping Company (MSC)	6300	2800
NBH1122GK09974	SUDU4915381	115441- 122311- 122309- 122313- 122317- 122750- 122739- 122741	Raminatrans	8/12/2022	16/1/2023	Ocean	Ningbo- CN				1	24/1/2023	Mediterranean Shipping Company (MSC)	4900	3100
NBH1122QU10049	SUDU4915381	115441- 122311- 122309- 122313- 122317- 122750- 122739- 122741	Raminatrans	8/12/2022	16/1/2023	Ocean	Ningbo- CN				1	24/1/2023	Mediterranean Shipping Company (MSC)	1000	3100
SFPC2212122637	TLLU4815292	125580- 125587- 125366- 125328- 125655- 125669- 125712- 125724- 125763- 125823- 126278- 125310	Raminatrans	10/12/2022	16/1/2023	Ocean	Tuticorin- IN				1	23/1/2023	Mediterranean Shipping Company (MSC)	1000	1853
NBH1222BN03683	MRKU2853650	127943- 127946- 127954	Raminatrans	12/12/2022	13/1/2023	Ocean	Ningbo- CN				1	17/1/2023	Mediterranean Shipping Company (MSC)	8302	3100
XM2212009A	CXRU1454908	121856- 121875- 121882- 121873- 121883- 121887- 121894- 121886- 121884- 121888- 121896- 121900- 121897- 121899- 121901- 121902- 121910- 121912- 121915- 121917- 121919- 121923- 121925- 121927- 121934- 121939- 121937- 121943- 121942- 121944- 121941- 121947- 121946- 121948- 121949- 121951- 121954- 122095- 122089- 122093- 122096- 124279- 124488- 124559- 124553- 124579- 124591	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Mediterranean Shipping Company (MSC)	19622	2800
XM2212009B/01	TRIU8847144	121256- 122061- 121613- 120866	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Mediterranean Shipping Company (MSC)	1000	2800
XM2212009B/02	TRIU8847144	121256- 122061- 121613- 120866	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Hapag - Lloyd	19708	3200
XM2212009B/03	TRIU8847144	121256- 122061- 121613- 120866	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Hapag - Lloyd	15586	3200
XM2212009C	CHIU9034184	124966- 124990	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Hapag - Lloyd	16110	3200
XM2212009E/01	SZLU9240730	121405- 121410- 121409	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Mediterranean Shipping Company (MSC)	21300	3200
XM2212009E/01	TEMU9364098	122850- 122852- 122855- 122860- 122906- 122924- 122926- 120899- 120934- 120936- 120938- 120939	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Mediterranean Shipping Company (MSC)	20760	2800
